id,term,name
,1300,"/moh´bee/"
,1301,n.
,1302,"vt.,n."
,1303,n.
,1304,n.
,1305,"/mod´yu·loh/"
,1305,prep.
,1306,n.
,1306,"/mo´jee·ba·ke/"
,1307,"/mol´ee·gard/"
,1307,n.
,1308,n.
,1309,vt.
,1310,n.
,1312,"/mon´tee/"
,1312,n.
,1313,/moof/
,1314,"/morz law/"
,1314,prov.
,1315,"/mor´ee·@/"
,1315,n.
,1316,"/moh·tahz/"
,1316,n.
,1317,"/moh·tohs/"
,1317,n.
,1318,/mots/
,1318,"/M·O·T·S·S/"
,1318,n.
,1319,vi.
,1320,n.
,1321,n.
,1322,n.
,1324,"/mow´soh/"
,1324,n.
,1325,"/M·S·dos/"
,1325,n.
,1326,/moo/
,1327,/muhd/
,1327,n.
,1328,n.
,1329,n.
,1331,"/muhl´tiks/"
,1331,n.
,1332,n.
,1333,"/muhm´bl@j/"
,1333,n.
,1334,interj.
,1335,vt.
,1336,n.
,1337,n.
,1338,"/muhnch´kin/"
,1338,n.
,1339,n.
,1340,/muhng/
,1340,vt.
,1341,/muhnj/
,1341,vt.
,1342,prov.
,1343,n.
,1344,vt.
,1345,/N/
,1345,quant.
,1346,"/nad´jr/"
,1346,v.
,1347,"/nag´weir/"
,1347,n.
,1348,adj.
,1349,vi.
,1350,adj.
,1351,n.
,1352,/nak/
,1352,interj.
,1353,//
,1354,"/nan´oh/"
,1354,n.
,1355,pref.
