id,term,name
,605,[[b;#fff;]n.]
,606,[[b;#fff;]n.]
,607,[[b;#fff;]/dwim/]
,608,"[[b;#fff;]/din´r/]"
,608,[[b;#fff;]n.]
,609,[[b;#fff;]n.]
,610,[[b;#fff;]n.]
,611,[[b;#fff;]imp.]
,612,"[[b;#fff;]/eb´s@·dik/]"
,612,"[[b;#fff;]/eb´see`dik/]"
,612,"[[b;#fff;]/eb´k@·dik/]"
,612,[[b;#fff;]n.]
,613,"[[b;#fff;]/E·C·P/]"
,613,[[b;#fff;]n.]
,614,[[b;#fff;]n.]
,615,[[b;#fff;]n.]
,616,[[b;#fff;]vi.]
,617,[[b;#fff;]n.]
,618,"[[b;#fff;]/el´ k@·mee´noh big´nuhm/]"
,618,[[b;#fff;]n.]
,619,[[b;#fff;]n.]
,620,[[b;#fff;]adj.]
,621,[[b;#fff;]adj.]
,622,[[b;#fff;]n.]
,623,[[b;#fff;]adj.]
,624,"[[b;#fff;]/@·li:´z@ @·fekt´/]"
,624,[[b;#fff;]n.]
,625,[[b;#fff;]n.]
,626,"[[b;#fff;]/ee´maks/]"
